ZIP,TOTAL POP,DIABETES,HEART DISEASE,POVERTY,FOOD INSECURITY,OBESE (BMI >=30),WHITE,ASIAN,BLACK,OTHER RACE,Latitude,Longitude
90014,2900,0.267618012,0.105127329,0.395,0.017,0.196,0.51,0.148,0.184,0.158,34.043146,-118.251746
90069,19200,0.064,0.059,0.103,0.131453416,0.163,0.78,0.062,0.05,0.0111,34.093828,-118.381697
90071,2500,0.267618012,0.074,0,0.131453416,0.102,0,0,0,0,34.052876,-118.254943
90073,700,0.267618012,0.105127329,0.48,0.131453416,0.615776398,0.499,0.062,0.363,0.075,34.054533,-118.45703
90079,1300,0.085,0.029,0,0.131453416,0.185,0,0,0,0,34.040587,-118.255404
90089,3200,0.267618012,0.105127329,0.004,0.131453416,0.615776398,0.486,0.34,0.054,0.12,34.020221,-118.286035
90095,8200,0.267618012,0.105127329,0,0.131453416,0.615776398,0,0,0,0,34.071312,-118.443545
90263,3300,0.034,0.026,0,0.131453416,0.056,0.542,0.299,0.038,0.121,34.039034,-118.707992
90272,201000,0.045,0.073,0.041,0.131453416,0.093,0.888,0.061,0.011,0.039,34.04806,-118.52647
90401,7000,0.068,0.049,0.127,0.131453416,0.105,0.771,0.101,0.075,0.054,34.013666,-118.49375
91759,<500,0.267618012,0.105127329,0.025,0.131453416,0.615776398,0.964,0.011,0.011,0.014,34.236117,-117.660055
93544,800,0.267618012,0.105127329,0.011,0.131453416,0.615776398,0.875,0,0.022,0.104,34.50583,-117.81784
93563,<500,0.267618012,0.105127329,0.098,0.131453416,0.615776398,0.726,0,0.103,0.171,34.44611,-117.85229
