City,County,Address,Zip Code,Number
Los Angeles,Los Angeles,1000 Glendon Ave ,90024,234
Los Angeles,Los Angeles,2738 Hyperion Ave ,90027,17
Los Angeles,Los Angeles,1600 N Vine St ,90028,206
Los Angeles,Los Angeles,3456 S Sepulveda Blvd ,90034,119
Los Angeles,Los Angeles,263 S La Brea Ave ,90036,31
Los Angeles,Los Angeles,175 South Fairfax Ave ,90036,240
Eagle Rock,Los Angeles,1566 Colorado Blvd,90041,55
Westchester,Los Angeles,8645 S Sepulveda ,90045,33
Los Angeles,Los Angeles,8000 W Sunset Blvd,90046,192
West Hollywood,Los Angeles,7310 Santa Monica Blvd ,90046,40
Los Angeles,Los Angeles,8500 Burton Way ,90048,237
Los Angeles,Los Angeles,10850 National Blvd ,90064,7
Los Angeles,Los Angeles,11755 Olympic Blvd ,90064,215
West Hollywood,Los Angeles,8611 Santa Monica Blvd ,90069,173
Los Angeles,Los Angeles,3131 S Hoover Street ,90089,250
Culver City,Los Angeles,6150 Slauson Ave,90230,251
Culver City,Los Angeles,9290 Culver Blvd,90232,36
Hermosa Beach,Los Angeles,1100 Pacific Coast Hwy,90254,248
Manhattan Beach,Los Angeles,1821 Manhattan Beach Blvd ,90266,34
Manhattan Beach,Los Angeles,1800 Rosecrans Blvd ,90266,106
Rancho Palos Verdes,Los Angeles,28901 S Western Ave ,90275,57
Rancho Palos Verdes,Los Angeles,31176 Hawthorne Blvd ,90275,233
Redondo Beach,Los Angeles,1761 S Elena Ave ,90277,38
Marina Del Rey,Los Angeles,4675 Admiralty Way ,90292,205
Santa Monica,Los Angeles,2300 Wilshire Blvd #101 ,90403,253
Santa Monica,Los Angeles,3212 Pico Blvd ,90405,6
Torrance,Los Angeles,19720 Hawthorne Blvd ,90503,121
Torrance,Los Angeles,2545 Pacific Coast Hwy ,90505,29
Whittier,Los Angeles,15025 E Whittier Blvd ,90603,48
La Habra,Orange,"2101 W. Imperial Hwy, Suite A ",90631,
Cerritos,Los Angeles,12861 Towne Center Dr,90703,104
Long Beach,Los Angeles,6451 E Pacific Coast Hwy ,90803,43
Long Beach,Los Angeles,4210 Long Beach Blvd ,90807,116
Long Beach,Los Angeles,2222 North Bellflower Blvd ,90815,194
Monrovia,Los Angeles,604 W Huntington Dr ,91016,112
La Crescenta-Montrose,Los Angeles,2462 Honolulu Ave ,91020,52
South Pasadena,Los Angeles,613 Mission St ,91030,18
La Canada Flintridge,Los Angeles,475 Foothill Blvd ,91101,42
Pasadena ,Los Angeles,345 S Lake Ave,91101,179
Pasadena ,Los Angeles,610 S Arroyo Pkwy ,91105,51
Pasadena ,Los Angeles,3035 E Huntington Dr,91107,32
Pasadena ,Los Angeles,467 N Rosemead Blvd ,91107,171
Glendale,Los Angeles,103 E Glenoaks Blvd,91207,53
Agoura Hills,Los Angeles,28941 Canwood St ,91301,247
Calabasas,Los Angeles,23741 Calabasas Rd. ,91302,254
West Hills,Los Angeles,6751 Fallbrook Ave ,91307,50
Chatsworth,Los Angeles,10330 Mason Ave ,91311,184
Encino,Los Angeles,17640 Burbank Blvd ,91316,56
Granada Hills,Los Angeles,11114 Balboa Blvd,91344,44
Santa Clarita,Los Angeles,26517 Bouquet Canyon Rd ,91350,13
Westlake Village,Los Angeles,3835 E Thousand Oaks Blvd ,91362,58
Woodland Hills,Los Angeles,21055 Ventura Blvd ,91364,209
Sherman Oaks,Los Angeles,14119 Riverside Dr ,91423,49
Burbank,Los Angeles,214 E Alameda Ave,91502,124
Toluca Lake,Los Angeles,10130 Riverside Dr ,91602,54
Studio City,Los Angeles,11976 Ventura Blvd ,91604,122
North Hollywood,Los Angeles,6130 Laurel Canyon Bl ,91606,252
Claremont,Los Angeles,475 W Foothill Blvd ,91711,214
San Dimas,Los Angeles,856 W Arrow Hwy ,91773,28
Irvine,Orange,14443 Culver Dr,92604,37
Irvine,Orange,4225 Campus Dr,92612,111
Irvine,Orange,6222 Irvine Blvd,92620,210
Costa Mesa,Orange,640 W 17th St ,92627,35
Huntington Beach,Los Angeles,21431 Brookhurst St ,92646,241
Huntington Beach,Los Angeles,18681 Main St ,92648,47
Huntington Beach,Los Angeles,16821 Algonquin St ,92649,244
Laguna Hills,Orange,24231 Avenida De La Carlota ,92653,39
Aliso Viejo,Orange,26541 Aliso Creek Rd,92656,195
Newport Beach,Orange,8086 E Pacific Coast Hwy ,92657,125
San Juan Capistrano,Orange,32151 Camino Capistrano ,92675,249
Rancho Santa Margarita,Orange,30652 Santa Margarita Pkwy ,92688,27
Mission Viejo,Orange,25410 Marguerite Pkwy ,92692,126
Santa Ana,Orange,3329 S Bristol St,92704,113
Tustin,Orange,1198 Irvine Blvd.,92780,197
Brea,Orange,2500 E Imperial Hwy,92821,11
Orange,Orange,2114 N Tustin St ,92865,46
Yorba Linda,Orange,19655 Yorba Linda Blvd ,92886,176
Palmdale,Los Angeles,39507 10th St W ,93551,185
