City,County,Address,Zip Code,Number,Latitude,Longitude
Los Angeles,Los Angeles,1000 Glendon Ave ,90024,234,34.062169,-118.44396
Los Angeles,Los Angeles,2738 Hyperion Ave ,90027,17,34.107669,-118.271787
Los Angeles,Los Angeles,1600 N Vine St ,90028,206,34.1,-118.32647
Los Angeles,Los Angeles,3456 S Sepulveda Blvd ,90034,119,34.0202,-118.42274
Los Angeles,Los Angeles,263 S La Brea Ave ,90036,31,34.06925,-118.34422
Los Angeles,Los Angeles,175 South Fairfax Ave ,90036,240,34.072,-118.36164
Eagle Rock,Los Angeles,1566 Colorado Blvd,90041,55,34.139449,-118.20004
Westchester,Los Angeles,8645 S Sepulveda ,90045,33,33.95857,-118.39645
Los Angeles,Los Angeles,8000 W Sunset Blvd,90046,192,34.09783,-118.36466
West Hollywood,Los Angeles,7310 Santa Monica Blvd ,90046,40,34.09059,-118.349082
Los Angeles,Los Angeles,8500 Burton Way ,90048,237,34.071018,-118.376669
Los Angeles,Los Angeles,10850 National Blvd ,90064,7,34.030182,-118.42141
Los Angeles,Los Angeles,11755 Olympic Blvd ,90064,215,34.03383,-118.44921
West Hollywood,Los Angeles,8611 Santa Monica Blvd ,90069,173,34.08912,-118.377805
Los Angeles,Los Angeles,3131 S Hoover Street ,90089,250,34.02605,-118.28472
Culver City,Los Angeles,6150 Slauson Ave,90230,251,33.988048,-118.392912
Culver City,Los Angeles,9290 Culver Blvd,90232,36,34.025265,-118.393005
Hermosa Beach,Los Angeles,1100 Pacific Coast Hwy,90254,248,33.863549,-118.391979
Manhattan Beach,Los Angeles,1821 Manhattan Beach Blvd ,90266,34,33.887538,-118.379664
Manhattan Beach,Los Angeles,1800 Rosecrans Blvd ,90266,106,33.900571,-118.381183
Rancho Palos Verdes,Los Angeles,28901 S Western Ave ,90275,57,33.756457,-118.310414
Rancho Palos Verdes,Los Angeles,31176 Hawthorne Blvd ,90275,233,33.749325,-118.407096
Redondo Beach,Los Angeles,1761 S Elena Ave ,90277,38,33.818524,-118.385559
Marina Del Rey,Los Angeles,4675 Admiralty Way ,90292,205,33.979611,-118.441268
Santa Monica,Los Angeles,2300 Wilshire Blvd #101 ,90403,253,34.033287,-118.480236
Santa Monica,Los Angeles,3212 Pico Blvd ,90405,6,34.02637,-118.455986
Torrance,Los Angeles,19720 Hawthorne Blvd ,90503,121,33.852212,-118.353108
Torrance,Los Angeles,2545 Pacific Coast Hwy ,90505,29,33.790859,-118.330187
Whittier,Los Angeles,15025 E Whittier Blvd ,90603,48,33.949153,-118.005551
La Habra,Orange,"2101 W. Imperial Hwy, Suite A ",90631,,33.917499,-117.96923
Cerritos,Los Angeles,12861 Towne Center Dr,90703,104,33.869176,-118.057969
Long Beach,Los Angeles,6451 E Pacific Coast Hwy ,90803,43,33.757801,-118.10902
Long Beach,Los Angeles,4210 Long Beach Blvd ,90807,116,33.834997,-118.189081
Long Beach,Los Angeles,2222 North Bellflower Blvd ,90815,194,33.796697,-118.125161
Monrovia,Los Angeles,604 W Huntington Dr ,91016,112,34.140151,-118.01186
La Crescenta-Montrose,Los Angeles,2462 Honolulu Ave ,91020,52,34.20651,-118.23123
South Pasadena,Los Angeles,613 Mission St ,91030,18,34.115388,-118.162917
La Canada Flintridge,Los Angeles,475 Foothill Blvd ,91101,42,34.151628,-118.139813
Pasadena ,Los Angeles,345 S Lake Ave,91101,179,34.139916,-118.13314
Pasadena ,Los Angeles,610 S Arroyo Pkwy ,91105,51,34.135324,-118.165891
Pasadena ,Los Angeles,3035 E Huntington Dr,91107,32,34.12773,-118.089599
Pasadena ,Los Angeles,467 N Rosemead Blvd ,91107,171,34.15374,-118.078194
Glendale,Los Angeles,103 E Glenoaks Blvd,91207,53,34.159338,-118.25507
Agoura Hills,Los Angeles,28941 Canwood St ,91301,247,34.145684,-118.756928
Calabasas,Los Angeles,23741 Calabasas Rd. ,91302,254,34.155829,-118.644688
West Hills,Los Angeles,6751 Fallbrook Ave ,91307,50,34.192555,-118.624079
Chatsworth,Los Angeles,10330 Mason Ave ,91311,184,34.258124,-118.579611
Encino,Los Angeles,17640 Burbank Blvd ,91316,56,34.172068,-118.517659
Granada Hills,Los Angeles,11114 Balboa Blvd,91344,44,34.272679,-118.501967
