ZIP,TOTAL POP,DIABETES,HEART DISEASE,POVERTY,FOOD INSECURITY,OBESE (BMI >=30),WHITE,ASIAN,BLACK,OTHER RACE,
90001,42900,11.60%,4.00%,26.60%,19.10%,42.00%,35.70%,0.20%,10.00%,54.00%,
90002,39700,11.70%,4.10%,28.50%,21.90%,41.80%,35.90%,0.70%,24.70%,38.70%,
90003,43200,11.50%,4.00%,30.00%,21.90%,41.40%,27.00%,0.30%,24.40%,48.30%,
90004,47600,10.00%,5.30%,18.10%,9.70%,28.70%,40.80%,27.40%,4.40%,27.40%,
90005,30400,9.00%,4.80%,24.50%,14.20%,23.70%,19.80%,37.10%,5.50%,37.60%,
90006,38100,12.00%,5.00%,3.83%,18.00%,31.70%,21.90%,22.00%,0.50%,52.40%,
90007,33300,7.70%,3.40%,40.30%,13.80%,25.70%,32.00%,23.20%,10.40%,34.40%,
90008,25300,11.10%,5.40%,19.80%,9.90%,34.60%,14.80%,38.00%,70.10%,11.30%,
90010,7800,7.90%,5.40%,16.30%,6.20%,29.40%,19.00%,68.90%,5.90%,6.30%,
90011,73500,11.40%,3.80%,32.50%,23.90%,44.20%,36.10%,0.70%,9.80%,53.40%,
90012,25600,8.30%,4.80%,20.90%,5.70%,24.40%,30.20%,40.40%,13.80%,15.60%,
90013,17200,9.00%,n/a,45.70%,2.20%,19.20%,37.00%,16.70%,30.60%,15.70%,
90014,2900,n/a,n/a,39.50%,1.70%,19.60%,51.00%,14.80%,18.40%,15.80%,
90015,17200,10.10%,4.30%,34.00%,14.80%,28.90%,35.30%,18.10%,7.50%,39.00%,
90016,37700,1160.00%,4.90%,19.10%,12.70%,35.30%,34.60%,3.90%,37.20%,24.30%,
90017,23100,7.50%,4.40%,40.40%,20.20%,20.40%,34.70%,18.20%,6.20%,40.90%,
90018,38100,12.40%,4.90%,22.30%,15.60%,36.80%,19.50%,4.90%,35.10%,40.50%,
90019,48000,11.10%,5.70%,17.80%,9.60%,30.80%,35.20%,17.80%,20.90%,16.10%,
90020,26500,8.50%,5.00%,16.40%,8.20%,24.10%,28.10%,49.20%,5.60%,17.10%,
90021,3100,8.60%,4.70%,50.50%,8.80%,33.40%,35.80%,3.40%,27.00%,33.80%,
90022,46200,12.00%,4.30%,20.10%,10.80%,39.10%,60.00%,0.33%,0.30%,38.40%,
90023,33400,12.40%,4.50%,22.90%,14.50%,40.00%,62.60%,1.00%,1.10%,35.30%,
90024,32500,5.20%,5.00%,26.80%,0.20%,23.90%,59.80%,29.10%,1.90%,9.20%,
90025,36000,6.00%,4.90%,13.00%,0.60%,13.80%,64.00%,21.10%,3.20%,11.70%,
90026,56700,8.50%,4.90%,19.60%,8.90%,27.90%,56.20%,18.90%,3.70%,21.30%,
90027,36100,6.60%,6.00%,16.30%,3.00%,21.20%,67.70%,13.80%,3.10%,15.40%,
90028,28600,6.90%,4.90%,25.60%,5.00%,25.10%,58.70%,83.00%,8.60%,24.50%,
90029,30700,9.90%,5.60%,34.20%,11.20%,30.90%,41.50%,18.40%,2.50%,37.60%,
90031,29600,12.60%,5.40%,23.80%,12.40%,32.00%,37.60%,26.00%,0.90%,35.50%,
90032,33700,12.40%,5.00%,19.70%,12.50%,32.80%,45.20%,11.20%,1.70%,41.90%,
90033,34000,12.90%,4.80%,30.40%,17.00%,39.30%,66.00%,6.20%,1.30%,26.50%,
90034,49600,6.30%,3.50%,14.30%,1.80%,18.10%,60.60%,18.90%,9.90%,10.60%,
90035,22800,6.30%,6.40%,12.10%,1.90%,17.90%,73.30%,8.40%,8.10%,10.10%,
90036,31100,6.40%,5.10%,14.50%,1.50%,15.20%,68.00%,17.60%,5.10%,9.30%,
90037,46900,11.90%,4.10%,35.30%,22.60%,41.30%,26.50%,1.30%,21.80%,50.40%,
90038,22800,8.40%,5.00%,26.50%,10.10%,29.00%,44.10%,5.80%,6.70%,43.30%,
90039,23100,9.50%,6.10%,9.20%,5.60%,24.70%,58.20%,20.30%,2.40%,19.10%,
90040,10500,12.80%,4.50%,16.10%,8.50%,40.20%,75.50%,1.20%,1.00%,22.30%,
90041,21500,9.30%,6.10%,10.10%,5.10%,24.70%,53.00%,29.20%,1.60%,16.20%,
90042,47000,11.60%,5.20%,18.10%,10.80%,31.70%,47.50%,14.50%,3.10%,34.90%,
90043,35300,12.50%,5.60%,18.40%,10.00%,36.60%,17.60%,1.40%,63.80%,17.20%,
90044,71200,11.60%,4.60%,30.50%,18.90%,39.40%,22.50%,0.60%,39.60%,37.30%,
90045,31500,5.90%,5.40%,10.50%,1.10%,14.90%,60.60%,14.70%,13.00%,11.80%,
90046,43300,6.60%,5.80%,14.90%,1.20%,16.80%,79.60%,5.90%,4.50%,10.00%,
