ZIP,TOTAL POP,DIABETES,HEART DISEASE,POVERTY,FOOD INSECURITY,OBESE (BMI >=30),WHITE,ASIAN,BLACK,OTHER RACE,Latitude,Longitude
91207,10300,0.074,0.086,0.082,0.021,0.224,0.841,0.087,0.01,0.072,34.182379,-118.262922
90247,34800,0.121,0.058,0.164,0.127,0.33,0.344,0.285,0.191,0.279,33.888315,-118.295256
91803,23200,0.115,0.059,0.122,0.067,0.226,0.252,0.522,0.09,0.218,34.074736,-118.145959
90606,26400,0.128,0.048,0.094,0.068,0.404,0.495,0.026,0.08,0.471,33.977272,-118.066363
91776,29300,0.107,0.058,0.144,0.062,0.207,0.176,0.657,0.08,0.159,34.090776,-118.095091
92637,13500,0.129,0.15,0.108,0.7,0.173,0.82,0.161,0.06,0.012,33.612925,-117.731443
91754,24900,0.12,0.065,0.138,0.059,0.211,0.161,0.632,0.05,0.202,34.052922,-118.143465
91755,22100,0.118,0.065,0.169,0.058,0.196,0.14,0.725,0.05,0.13,34.050965,-118.114394
93532,2000,0.08,0.062,0.182,0.057,0.302,0.929,0.019,0.04,0.048,34.67693,-118.44536
92688,35500,0.067,0.051,0.047,0.034,0.216,0.771,0.14,0.018,0.1,33.619672,-117.612087
91770,47600,0.113,0.059,0.168,0.074,0.224,0.194,0.618,0.03,0.185,34.065493,-118.084529
90245,14400,0.114,0.047,0.122,0.079,0.393,0.612,0.074,0.054,0.268,33.91918,-118.41647
92618,24700,0.079,0.054,0.109,0.042,0.195,0.525,0.406,0.018,0.052,33.641579,-117.73269
92604,21000,0.079,0.064,0.091,0.017,0.186,0.593,0.318,0.016,0.074,33.690475,-117.790059
90620,40500,0.115,0.058,0.08,0.077,0.268,0.598,0.301,0.021,0.081,33.846302,-118.012225
91020,5200,0.083,0.069,0.101,0.04,0.226,0.676,0.216,0.023,0.086,34.211341,-118.230652
90026,56700,0.085,0.049,0.196,0.089,0.279,0.562,0.189,0.037,0.213,34.080017,-118.262643
92886,38700,0.072,0.061,0.038,0.018,0.196,0.764,0.173,0.009,0.055,33.896339,-117.796416
90807,26700,0.096,0.065,0.069,0.048,0.282,0.491,0.172,0.157,0.181,33.831466,-118.181102
92626,42700,0.072,0.055,0.094,0.054,0.23,0.73,0.156,0.033,0.082,33.678399,-117.911715
91773,28100,0.084,0.063,0.081,0.039,0.239,0.673,0.144,0.033,0.151,34.10668,-117.80673
91355,34600,0.064,0.065,0.073,0.03,0.212,0.756,0.129,0.025,0.091,34.439741,-118.634816
91387,31200,0.077,0.056,0.072,0.063,0.273,0.655,0.126,0.069,0.151,34.401969,-118.39882
91303,22700,0.085,0.053,0.189,0.104,0.3,0.601,0.119,0.051,0.23,34.198292,-118.600914
92692,40300,0.065,0.067,0.041,0.018,0.184,0.804,0.11,0.017,0.07,33.606497,-117.643112
91702,42500,0.102,0.046,0.12,0.1,0.32,0.459,0.104,0.028,0.41,34.13529,-117.91506
92648,38700,0.069,0.064,0.082,0.031,0.197,0.803,0.102,0.013,0.083,33.67901,-118.014603
91607,24800,0.059,0.069,0.116,0.04,0.214,0.795,0.064,0.068,0.074,34.165783,-118.399795
91331,74700,0.111,0.05,0.174,0.148,0.373,0.584,0.063,0.039,0.315,34.255442,-118.421314
90265,19300,0.043,0.055,0.09,0.003,0.107,0.878,0.054,0.02,0.049,34.066117,-118.846342
93560,14500,0.107,0.064,0.123,0.097,0.371,0.684,0.043,0.107,0.167,34.86576,-118.21547
90290,5300,0.046,0.063,0.046,0.005,0.147,0.919,0.037,0.016,0.029,34.08927,-118.60436
90302,23200,0.117,0.053,0.175,0.125,0.359,0.307,0.014,0.489,0.191,33.975332,-118.355252
90028,28600,0.069,0.049,0.256,0.05,0.251,0.587,0.083,0.086,0.245,34.099912,-118.326912
90010,7800,0.079,0.054,0.163,0.062,0.294,0.19,0.689,0.059,0.063,34.062148,-118.315889
91780,27100,0.107,0.065,0.107,0.048,0.204,0.262,0.572,0.01,0.157,34.10723,-118.05785
90623,12100,0.117,0.064,0.062,0.049,0.224,0.408,0.478,0.057,0.058,33.8464,-118.04673
91326,28000,0.07,0.072,0.065,0.018,0.208,0.572,0.318,0.032,0.079,34.281486,-118.556005
91790,33900,0.107,0.054,0.081,0.084,0.309,0.388,0.226,0.033,0.354,34.066964,-117.937007
90755,9000,0.097,0.056,0.103,0.035,0.274,0.6,0.222,0.106,0.073,33.803448,-118.168135
90045,31500,0.059,0.054,0.105,0.011,0.149,0.606,0.147,0.13,0.118,33.942108,-118.417488
92865,150900,0.102,0.054,0.092,0.066,0.265,0.731,0.133,0.016,0.121,33.827031,-117.851196
90713,2200,0.079,0.06,0.046,0.016,0.284,0.704,0.123,0.036,0.138,33.850465,-118.109399
90211,6600,0.067,0.069,0.113,0.017,0.085,0.822,0.116,0.014,0.049,34.064958,-118.382979
91302,21000,0.046,0.068,0.088,0.009,0.177,0.833,0.108,0.012,0.048,34.12331,-118.671028
90266,29000,0.045,0.069,0.039,0.007,0.152,0.825,0.106,0.01,0.06,33.889151,-118.402127
90049,30200,0.047,0.063,0.071,0.002,0.107,0.857,0.093,0.011,0.04,34.091829,-118.491244
91321,26700,0.088,0.066,0.123,0.089,0.279,0.743,0.086,0.031,0.141,34.36811,-118.489037
90670,12700,0.127,0.051,0.099,0.055,0.389,0.593,0.084,0.035,0.289,33.927063,-118.063698
91768,25800,0.089,0.043,0.183,0.108,0.297,0.476,0.082,0.078,0.365,34.063516,-117.790379
91602,16300,0.049,0.06,0.109,0.022,0.192,0.761,0.08,0.074,0.086,34.150818,-118.368159
90731,46600,0.103,0.059,0.171,0.115,0.327,0.617,0.055,0.08,0.249,33.753088,-118.253053
93552,23800,0.135,0.056,0.127,0.152,0.412,0.42,0.043,0.132,0.406,34.570867,-118.023744
90059,27300,0.113,0.043,0.298,0.201,0.413,0.369,0.008,0.331,0.293,33.921065,-118.244955
92602,23600,0.098,0.051,0.053,0.051,0.205,0.3883,0.483,0.03,0.099,33.757245,-117.750414
91006,24500,0.097,0.064,0.082,0.034,0.187,0.333,0.559,0.008,0.1,34.136258,-118.026704
91791,24700,0.107,0.057,0.078,0.066,0.268,0.442,0.277,0.052,0.229,34.061634,-117.893169
90036,31100,0.064,0.051,0.145,0.015,0.152,0.68,0.176,0.051,0.093,34.07041,-118.350411
91364,20900,0.06,0.079,0.07,0.017,0.201,0.801,0.069,0.053,0.077,34.153733,-118.593408
91748,36200,0.109,0.057,0.113,0.061,0.201,0.246,0.609,0.008,0.137,33.9781,-117.88749
91789,31700,0.104,0.056,0.07,0.036,0.187,0.265,0.608,0.025,0.102,34.018354,-117.85492
90703,38600,0.109,0.063,0.053,0.018,0.223,0.252,0.6,0.079,0.069,33.866914,-118.068648
91007,25500,0.104,0.066,0.104,0.035,0.187,0.308,0.595,0.02,0.077,34.128284,-118.047732
91108,9900,0.075,0.067,0.067,0.013,0.166,0.397,0.543,0.011,0.049,34.122671,-118.112911
91801,41600,0.099,0.057,0.162,0.061,0.212,0.223,0.535,0.022,0.22,34.090728,-118.127527
91765,36400,0.1,0.056,0.057,0.036,0.2,0.298,0.53,0.047,0.125,34.02862,-117.81034
91775,19000,0.094,0.063,0.08,0.038,0.202,0.347,0.508,0.011,0.134,34.114772,-118.089431
90020,26500,0.085,0.05,0.164,0.082,0.241,0.281,0.492,0.056,0.171,34.06638,-118.30987
91792,22100,0.106,0.052,0.12,0.072,0.239,0.251,0.448,0.065,0.236,34.022581,-117.902359
91745,39200,0.111,0.056,0.082,0.061,0.25,0.399,0.425,0.012,0.164,33.976114,-117.981631
92823,4000,0.081,0.052,0.085,0.023,0.197,0.503,0.414,0.024,0.059,33.928202,-117.809353
90701,12800,0.112,0.06,0.131,0.044,0.09,0.382,0.413,0.018,0.187,33.865395,-118.073148
90012,25600,0.083,0.048,0.209,0.057,0.244,0.302,0.404,0.138,0.156,34.065875,-118.238728
90504,27200,0.105,0.065,0.083,0.064,0.258,0.417,0.39,0.033,0.16,33.867257,-118.330794
90503,37800,0.085,0.068,0.08,0.043,0.231,0.507,0.38,0.026,0.087,33.840399,-118.353714
90008,25300,0.111,0.054,0.198,0.099,0.346,0.148,0.038,0.701,0.113,34.009552,-118.346724
90502,15900,0.125,0.066,0.106,0.098,0.305,0.352,0.372,0.091,0.185,33.833816,-118.293405
90005,30400,0.09,0.048,0.245,0.142,0.237,0.198,0.371,0.055,0.376,34.059163,-118.306892
92612,18600,0.075,0.058,0.27,0.029,0.16,0.553,0.365,0.022,0.06,33.65844,-117.826009
92603,19200,0.066,0.052,0.051,0.024,0.16,0.613,0.355,0.001,0.031,33.648871,-117.764637
91731,23400,0.109,0.055,0.2,0.11,0.281,0.45,0.332,0.004,0.214,34.078573,-118.043456
91732,44000,0.105,0.05,0.185,0.115,0.296,0.496,0.331,0.006,0.167,34.07342,-118.015345
91709,38500,0.095,0.065,0.065,0.041,0.245,0.494,0.328,0.045,0.133,33.9938,-117.75888
90621,25300,0.107,0.051,0.18,0.116,0.26,0.493,0.32,0.039,0.148,33.874224,-117.993368
90630,36100,0.097,0.06,0.062,0.043,0.227,0.587,0.302,0.042,0.069,33.81696,-118.03729
90041,21500,0.093,0.061,0.101,0.051,0.247,0.53,0.292,0.016,0.162,34.137412,-118.207607
90024,32500,0.052,0.05,0.268,0.002,0.239,0.598,0.291,0.019,0.092,34.065729,-118.434999
90680,19900,0.116,0.056,0.167,0.108,0.274,0.546,0.281,0.025,0.148,33.80252,-117.99312
91011,15200,0.048,0.072,0.031,0.005,0.144,0.681,0.277,0.003,0.039,34.222261,-118.205369
90004,47600,0.1,0.053,0.181,0.097,0.287,0.408,0.274,0.044,0.274,34.076198,-118.310723
90275,36200,0.08,0.08,0.044,0.017,0.201,0.643,0.268,0.021,0.068,33.753146,-118.367459
90094,8100,0.048,0.041,0.126,0.005,0.16,0.525,0.263,0.146,0.066,33.975416,-118.416989
90501,33700,0.106,0.059,0.117,0.099,0.29,0.436,0.262,0.052,0.25,33.835665,-118.303805
90031,29600,0.126,0.054,0.238,0.124,0.32,0.376,0.26,0.009,0.355,34.085807,-118.206617
92610,18900,0.064,0.04,0.027,0.032,0.193,0.678,0.258,0.018,0.046,33.68641,-117.66088
90810,31000,0.118,0.056,0.158,0.133,0.348,0.373,0.258,0.126,0.243,33.819266,-118.232453
91107,25800,0.074,0.063,0.096,0.032,0.207,0.577,0.248,0.062,0.113,34.156397,-118.085873
90274,19700,0.057,0.092,0.047,0.006,0.148,0.7,0.239,0.016,0.045,33.77085,-118.37868
91210,2100,0.06,0.068,0.209,0.045,0.263,0.747,0.238,0.015,0,34.144557,-118.256507
91046,1400,0.097,0.1,0.104,0.034,0.247,0.768,0.232,0,0,34.211452,-118.241036
90007,33300,0.077,0.034,0.403,0.138,0.257,0.32,0.232,0.104,0.344,34.028133,-118.284828
90057,32300,0.094,0.048,0.3,0.195,0.257,0.272,0.226,0.051,0.451,34.061735,-118.276757
90710,21800,0.117,0.063,0.134,0.098,0.312,0.414,0.214,0.121,0.251,33.79002,-118.29785
90025,36000,0.06,0.049,0.13,0.006,0.138,0.64,0.211,0.032,0.117,34.04536,-118.445818
91381,16800,0.058,0.054,0.064,0.019,0.207,0.7,0.206,0.036,0.058,34.39048,-118.57372
90806,31700,0.109,0.051,0.22,0.126,0.322,0.421,0.204,0.169,0.206,33.80564,-118.188597
90039,23100,0.095,0.061,0.092,0.056,0.247,0.582,0.203,0.024,0.191,34.111525,-118.260552
91706,54800,0.112,0.047,0.13,0.117,0.331,0.351,0.194,0.02,0.435,34.08529,-117.9609
92704,67800,0.12,0.047,0.149,0.151,0.335,0.479,0.191,0.011,0.319,33.721131,-117.90511
91010,20000,0.106,0.059,0.133,0.076,0.282,0.56,0.185,0.082,0.173,34.141586,-117.957627
90029,30700,0.099,0.056,0.342,0.112,0.309,0.415,0.184,0.025,0.376,34.089848,-118.294661
91204,14300,0.084,0.071,0.194,0.059,0.293,0.638,0.182,0.03,0.15,34.136194,-118.260934
90017,23100,0.075,0.044,0.404,0.202,0.204,0.347,0.182,0.062,0.409,34.052913,-118.26434
91311,31800,0.081,0.07,0.078,0.037,0.243,0.654,0.181,0.043,0.122,34.294142,-118.603883
92657,9600,0.051,0.058,0.025,0.006,0.132,0.768,0.179,0,0.053,33.597128,-117.835987
91354,18500,0.057,0.065,0.048,0.017,0.218,0.699,0.178,0.067,0.056,34.465755,-118.553789
91306,33400,0.101,0.063,0.127,0.089,0.303,0.457,0.178,0.036,0.329,34.209532,-118.577563
91208,13800,0.074,0.081,0.07,0.025,0.227,0.77,0.176,0.005,0.049,34.185833,-118.239524
90065,36300,0.118,0.059,0.168,0.101,0.318,0.532,0.175,0.023,0.27,34.112272,-118.225496
91105,10800,0.062,0.07,0.085,0.01,0.145,0.695,0.174,0.061,0.07,34.13946,-118.166649
90067,2400,0.068,0.118,0.07,0.001,0.098,0.799,0.172,0.003,0.026,34.057597,-118.413998
90230,24700,0.083,0.058,0.102,0.015,0.202,0.637,0.171,0.086,0.106,33.998214,-118.394059
90249,20200,0.0125,0.061,0.009,0.102,0.345,0.261,0.17,0.305,0.264,33.90139,-118.315697
92656,38900,0.06,0.051,0.037,0.023,0.194,0.707,0.169,0.029,0.095,33.576205,-117.730364
90813,41600,0.1,0.047,0.286,0.182,0.359,0.48,0.169,0.12,0.231,33.780017,-118.183701
90232,14700,0.076,0.06,0.091,0.014,0.182,0.685,0.168,0.072,0.075,34.019323,-118.391902
91504,20900,0.068,0.068,0.086,0.039,0.245,0.683,0.167,0.024,0.126,34.204568,-118.326365
90717,16300,0.106,0.067,0.122,0.082,0.299,0.616,0.167,0.041,0.176,33.79224,-118.31507
